! core d(kpc area(''^2) T   peakflux
!
pol1   3.6   0.6982     25  2.32e-03
pol2   3.6   0.5343     25  1.5e-03
pol3   3.6   0.5685     25  1.2e-03
pol4   3.6   0.1366     25  8.5e-04
pol5   3.6   0.4764     25  3.7e-03
pol6   3.6   0.4453     25  2.1e-03
pol7   3.6   1.980      25  3.3e-03
pol8   3.6   0.2326     25  8e-04
pol9   3.6   0.2296     25  1.3e-03
pol10  3.6   0.5996     25  4.7e-03
pol11  3.6   0.6783     25  4.7e-02
pol12  3.6   0.7764     25  5e-02
pol13  3.6   0.2339     25  1.6e-03
pol14  3.6   0.3463     25  3.3e-03
pol15  3.6   0.5413     25  2.9e-03
